#{"t_start": 1615009006.4983943, "env_id": "NovelGridworld-v0"}
r,l,t
47,4,22.073021
49,2,22.076033
45,6,22.08374
48,3,22.088097
34,17,22.110762
40,11,22.129196
50,1,22.131868
44,7,22.143872
48,3,22.147619
43,8,22.176514
48,3,22.1799
50,1,22.181698
46,5,22.187094
46,5,22.192647
47,4,22.196999
42,9,22.20751
41,10,22.221158
44,7,22.231361
44,7,22.2414
42,9,22.254849
47,4,22.260442
46,5,22.26633
37,14,22.282396
42,9,22.293201
40,11,22.309691
44,7,22.315564
27,24,22.361511
49,2,22.363773
47,4,22.368551
36,15,22.384345
48,3,22.388857
48,3,22.392532
42,9,22.400046
50,1,22.401397
47,4,22.406393
49,2,22.409399
39,12,22.423839
44,7,22.437944
41,10,22.451053
46,5,22.458191
49,2,22.460409
45,6,22.466183
47,4,22.470377
44,7,22.477217
28,23,22.522501
39,12,22.535914
45,6,22.543232
48,3,22.547323
50,1,22.549459
37,14,22.56477
44,7,22.575216
44,7,22.58284
47,4,22.58794
47,4,22.592811
42,9,22.602505
33,18,22.622722
48,3,22.627574
49,2,22.631093
45,6,22.640486
42,9,22.65688
45,6,22.663188
37,14,22.699046
40,11,22.708989
48,3,22.712248
38,13,22.728993
49,2,22.731194
48,3,22.73424
45,6,22.740475
41,10,22.751721
47,4,22.759044
43,8,22.766914
43,8,22.775897
47,4,22.781362
49,2,22.784848
47,4,22.790352
48,3,22.793766
41,10,22.805034
46,5,22.811759
50,1,22.813965
26,25,22.843073
46,5,22.867974
44,7,22.874177
46,5,22.878691
42,9,22.887208
42,9,22.8969
47,4,22.902263
47,4,22.907989
45,6,22.916213
49,2,22.919289
39,12,22.935211
40,11,22.952376
47,4,22.958972
43,8,22.96839
46,5,22.974128
38,13,22.994791
49,2,22.998048
46,5,23.005008
50,1,23.006965
46,5,23.013961
45,6,23.020764
48,3,23.024242
47,4,23.02889
47,4,23.051054
49,2,23.053472
50,1,23.055404
46,5,23.060473
46,5,23.06543
47,4,23.06972
48,3,23.073389
50,1,23.074889
47,4,23.079854
46,5,23.086186
50,1,23.088286
43,8,23.098837
49,2,23.102447
46,5,23.110116
43,8,23.122945
45,6,23.138951
49,2,23.141519
40,11,23.152829
41,10,23.163748
48,3,23.167205
44,7,23.174143
47,4,23.178816
47,4,23.183877
42,9,23.195222
44,7,23.202797
35,16,23.242215
49,2,23.244565
50,1,23.246067
44,7,23.252791
47,4,23.257697
49,2,23.26009
44,7,23.267088
42,9,23.279922
50,1,23.281359
45,6,23.287241
47,4,23.292372
50,1,23.294336
38,13,23.310694
40,11,23.323293
44,7,23.333498
46,5,23.341197
45,6,23.350294
48,3,23.355234
44,7,23.363948
49,2,23.367109
